tech_filename,tech_timestamp_chargement,objectid_route,objectid_commune,nom_commune,adresse,etat_rpm,etat_completude,etat_logique,operateur_immeuble,operateur_commercial,objectid_at,objectid_connecteur_pto,nb_comptes_clients,iar_ndfictif,nom_at,objectid_pto,nom_pto,objectid_fibre_branchement,numero_fibre_branchement,couleur_fibre_branchement,couleur_mod_branchement,objectid_cable_branchement,nom_cable_branchement,longueur_cable,immeuble_client,etat_operationnel_connecteur_pto,technologie,objectid_cassette_pb,pt_pb,nra_pt_pb,pf_pb,objectid_fibre_col_mon,numero_fibre_col_mon,couleur_fibre_col_mon,couleur_mod_col_mon,objectid_cable_col_mon,nom_cable_col_mon,longueur_cable_col_mon,objectid_cassette_pa,pt_pa,nra_pt_pa,pf_pa,nom_pareg,objectid_cassette_pm_bloc_client,nom_bloc_client,operateur_bloc_client,position_panneau_brassage_client,position_panneau_brassage_operateur,couleur_connecteur_panneau_brassage,pigtail_connecteur_entree_bloc_client,objectid_pigtail_connecteur_entree_bloc_client,num_pigtail_connecteur_entree_bloc_client,objectid_fibre_sortie_pm,numero_fibre_sortie_pm,couleur_fibre_sortie_pm,couleur_mod_sortie_pm,objectid_cable_sortie_pm,nom_cable_sortie_pm,longueur_cable_sortie_pm,objectid_pt_eqp_pm,pt_pm,nra_pt_pm,pf_pm,nom_pmreg,objectid_cassette_pm_bloc_operateur,couleur_bloc_operateur,operateur_bloc_operateur,nom_cassette_operateur,nom_bloc_operateur,objectid_fibre_entree_pm,numero_fibre_entree_pm,couleur_fibre_entree_pm,couleur_mod_entree_pm,objectid_cable_entree_pm,nom_cable_entree_pm,longueur_cable_entree_pm,pm_coupleur,niveau_couplage_pm,taux_couplage_pm,objectid_cassette_c2,pt_c2,pf_c2,nra_pt_c2,taux_couplage_c2,objectid_cassette_c1,pt_c1,pf_c1,nra_pt_c1,taux_couplage_c1,objectid_cassette_c0,pt_c0,pf_c0,nra_pt_c0,taux_couplage_c0,objectid_connecteur_olt,nom_port_pon,nom_carte,nom_chassis,nro,nom_olt,id_olt,commune_site_olt,id_site_olt,nom_departement_site_olt,no_departement_site_olt,objectid_cassette_pep,pt_pep,nra_pt_pep,pf_pep,objectid_fibre_entree_pep,numero_fibre_entree_pep,couleur_fibre_entree_pep,couleur_mod_entree_pep,objectid_cable_entree_pep,nom_cable_entree_pep,objectid_fibre_sortie_pep,numero_fibre_sortie_pep,couleur_fibre_sortie_pep,couleur_mod_sortie_pep,objectid_cable_sortie_pep,nom_cable_sortie_pep,objectid_cassette_pez,pt_pez,nra_pt_pez,pf_pez,troncon_cable_pez,objectid_cassette_pr,pt_pr,nra_pt_pr,pf_pr,troncon_cable_pr,client_route,objectid_du_pt_du_pb,date_deploiement_pb,longueur_total_de_la_distribution,type_localisation,nb_logements_desservis_pt,nb_app_adressables,nb_logements_desservis,etat_production,oi_pm,date_modif_et_at_prod,date_reelle_constuction,date_modif_zone_contour,type,type_pm,categorie,information_acces_localisation,nb_fibres_allumees,date_deploiement_pm,longueur_totale_du_transport,cable_renvoie_nro,connecteur_cable_renvoie_nro,ferme_equipement,ferme_transport,connecteur_ferme_equipement,connecteur_ferme_transport,cassertte_ferme_equipement,cassette_ferme_transport
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:29,9.15494E+18,9.13228E+18,CROISSY SUR SEINE,7 R  . Ponts 78190 CROISSY SUR SEINE niv.:1,Confirmé,Partiel,Actif,FT,SFR-9C,9.15494E+18,9.15494E+18,1,VIA01000000191871277,AT PTF/GBL01-00000-00142-20568,9.15494E+18,FI-6284-2956,9.15494E+18,1,01:ROU,01:ROU Raie:0,9.15494E+18,B 0008,,IMB/78190/C/IMMX,En service,FTTH,9.13878E+18,PT 1836,NRA MTS,PB 01248,9.13878E+18,18,06:BLA,03:VER Raie:0,9.13878E+18,TR 13 0766,1.7,9.13404E+18,PT 0431,NRA MTS,PA 0,PA-78190-001H,9.13404E+18,PT 0426/Tete Client#2,,,,,,,,9.13404E+18,36,06:BLA,06:BLA Raie:0,9.13404E+18,TR 12 0190,260,9.13404E+18,PT 0426,NRA MTS,PMZ 00025,FI-78190-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13878E+18,07/03/2014 00:00:00,415,Armoire,546,459,546,Deploye,FT,31/07/2012 00:00:00,31/07/2012 00:00:00,11/01/2023 00:00:00,Externe,,mono-fibre,"Emplacement PM:5, AV . Carnot",224,31/07/2012 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:18,9.15631E+18,9.13907E+18,MONDEVILLE,4 R  . Roches 14437 MONDEVILLE niv.:0,PLP,Partiel,Actif,FT,FT,9.15631E+18,9.15631E+18,0,,AT PTF/GBL01-00000-00194-31534,9.15631E+18,FI-9358-9859,9.15631E+18,1,01:ROU,01:ROU Raie:0,9.15631E+18,B 0011,0,IMB/14437/X/01QZ,Libre,FTTH,9.14558E+18,PT 002413,NRA LYA,PB 01732,9.14558E+18,10,04:JAU,02:BLF Raie:0,9.14558E+18,TR 16 0175,1.3,9.14522E+18,PT 002192,NRA LYA,PA 0,PA-14437-0018,9.14589E+18,PT 001334/Tete Client#1,,,,,,,,9.14522E+18,16,04:JAU,03:VER Raie:0,9.14522E+18,TR 15 1251,419,9.144E+18,PT 001334,NRA LYA,PMZ 00059,FI-14437-0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14558E+18,31/03/2016 00:00:00,549,Armoire,504,434,504,Deploye,FT,14/03/2016 00:00:00,08/03/2016 00:00:00,21/07/2022 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,192,14/03/2016 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:33,9.15737E+18,9.13289E+18,LA SEYNE SUR MER,1 AV . Esprit Armando 83126 LA SEYNE SUR MER bat.:CHARMILLES A3 niv.:0,Confirmé,Partiel,Actif,FT,STE DVLP ACCES (SDIF,9.15737E+18,9.15737E+18,1,VIA01000000196006408,AT PTF/GBL01-00000-00210-57537,9.15737E+18,FI-1224-1120,9.15737E+18,1,01:ROU,01:ROU Raie:0,9.15737E+18,B 0004,,IMB/83126/X/071W,En service,FTTH,9.13717E+18,PT 0413,NRA LSE,PB 00191,9.13717E+18,6,06:BLA,01:ROU Raie:0,9.13717E+18,TR 13 0165,2.1,9.13474E+18,PT 0032,NRA LSE,PA 0,PA-83126-000O,9.13462E+18,PT 0007/Tete Client#2,,,,,,,,9.13474E+18,42,06:BLA,07:ORA Raie:0,9.13474E+18,TR 12 0033,120,9.13462E+18,PT 0007,NRA LSE,PMZ 00003,FI-83126-0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13717E+18,05/08/2013 00:00:00,141,Armoire,522,454,522,Deploye,FT,19/02/2013 00:00:00,28/01/2013 00:00:00,10/05/2023 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,128,19/02/2013 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:38,9.16094E+18,9.13289E+18,LA SEYNE SUR MER,CHE. Manteau 83126 LA SEYNE SUR MER bat.:LOT  DU MANTEAU 8 niv.:0,Confirmé,Partiel,Actif,FT,SFR-9C,9.16094E+18,9.16094E+18,1,VIA01000000194620454,AT PTF/GBL01-00000-00292-43952,9.16094E+18,FI-5679-4442,9.16094E+18,1,01:ROU,01:ROU Raie:0,9.16094E+18,B 0002,0,IMB/83126/X/0AUM,En service,FTTH,9.15016E+18,PT 003938,NRA LSE,PB 03145,9.15016E+18,9,03:VER,02:BLF Raie:0,9.15016E+18,TR 17 0232,3.69,9.15004E+18,PT 003896,NRA LSE,PA 0,PA-83126-004C,9.13721E+18,PT 0085/Tete Client#3,,,,,,,,9.13721E+18,69,03:VER,12:ROS Raie:0,9.13721E+18,TR 13 0210,320,9.13495E+18,PT 0085,NRA LSE,PMZ 00033,FI-83126-000H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15016E+18,12/09/2017 00:00:00,1149,Armoire,351,329,351,Deploye,FT,12/07/2013 00:00:00,12/07/2013 00:00:00,23/04/2023 00:00:00,Externe,,mono-fibre,Position de l equipement:AR :armoire (dans),160,12/07/2013 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:44,9.16467E+18,8.06264E+18,STRASBOURG,1 R  . Bouxwiller 67482 STRASBOURG niv.:3,Confirmé,Partiel,Actif,FT,Bouygues,9.16467E+18,9.16467E+18,1,VIA01000000195607739,AT PTF/GBL01-00000-00368-01030,9.16467E+18,FI-9403-5360,9.16467E+18,4,04:JAU,01:ROU Tiret 1,9.16467E+18,B 0003,,IMB/67482/C/LRJM,En service,FTTH,9.14636E+18,PT 001723,NRA BRO,PB 01064,9.14636E+18,36,04:JAU,09:MAR Tiret 1,9.14636E+18,TR 16 0130,1.8,,,,,,9.14636E+18,PT 001713/Tête Client#41,FT,,,JAU,,,,9.14636E+18,36,04:JAU,09:MAR Tiret 1,9.14636E+18,TR 16 0126,5,9.14636E+18,PT 001713,NRA BRO,PM 00373,FI-67482-00XC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14636E+18,28/12/2016 00:00:00,185,Local technique,96,96,96,Deploye,FT,28/12/2016 00:00:00,28/12/2016 00:00:00,15/12/2016 00:00:00,Interne,,quadri-fibre,Position de l equipement:IM :imb apparent,32,28/12/2016 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:53,9.14722E+18,9.13583E+18,AUXERRE,13 R  . Alsace 89024 AUXERRE niv.:0,Confirmé,Partiel,Actif,FT,IFTR,9.14722E+18,9.14722E+18,1,VIA01000000185135885,AT PTF/GBL01-00000-00061-82651,9.14722E+18,FI-1650-0242,9.14722E+18,1,01:ROU,01:ROU Raie:0,9.14722E+18,B 0001,0,IMB/89024/S/0BF4,En service,FTTH,9.14241E+18,PT 000688,NRA AUX,PB 00454,9.14241E+18,13,01:ROU,03:VER Raie:0,9.14241E+18,TR 15 0146,2.35,9.13844E+18,PT 0072,NRA AUX,PA 0,PA-89024-001G,9.13757E+18,PT 0001/Tete Client#3,,,,,,,,9.13844E+18,55,01:ROU,10:VEC Raie:0,9.13844E+18,TR 13 0076,115,9.13757E+18,PT 0001,NRA AUX,PMZ 00015,FI-89024-000H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14241E+18,19/07/2016 00:00:00,1180,Armoire,402,318,402,Deploye,FT,12/05/2014 00:00:00,27/06/2014 00:00:00,30/04/2022 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,128,12/05/2014 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:35,9.15705E+18,9.12598E+18,LE HAVRE,10 R  . Serg Boriès 76351 LE HAVRE niv.:1,Confirmé,Partiel,Actif,FT,IFTR,9.15705E+18,9.15705E+18,1,VIA01000000196502133,AT PTF/GBL01-00000-00172-48468,9.15705E+18,FI-8198-9314,9.15705E+18,1,01:ROU,01:ROU Raie:0,9.15705E+18,B 0009,,IMB/76351/C/PPA7,En service,FTTH,9.14896E+18,PT 002516,NRA JAU,PB 01902,9.14896E+18,8,02:BLF,02:BLF Raie:0,9.14896E+18,TR 17 0293,3.4,9.14896E+18,PT 002507,NRA JAU,PA 0,PA-76351-0107,9.14658E+18,PT 000864/Tete Client#3,,,,,,,,9.14896E+18,80,02:BLF,02:BLF Raie:1,9.14896E+18,TR 17 0285,1011,9.14473E+18,PT 000864,NRA JAU,PMZ 00062,FI-76351-006X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14896E+18,28/09/2017 00:00:00,1168,Armoire,528,444,528,Deploye,FT,20/04/2016 00:00:00,08/02/2016 00:00:00,31/08/2022 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,64,20/04/2016 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:42,9.15687E+18,9.13111E+18,LAVAL,4 R  . Drs Calmette et Guérin 53130 LAVAL bat.:ESTUD1 E niv.:1,PLP,Partiel,Actif,FT,SFR-9C,9.15382E+18,9.15382E+18,0,,AT PTF/GBL01-00000-00127-70659,9.15382E+18,FI-5364-5350,9.15382E+18,1,01:ROU,01:ROU Raie:0,9.15382E+18,B 0013,,IMB/53130/C/0ARG,Libre,FTTH,9.14364E+18,PT 002529,NRA MRG,PB 01766,9.14365E+18,6,06:BLA,01:ROU Raie:0,9.14365E+18,TR 15 0421,1.36,9.14218E+18,PT 2046,NRA MRG,PA 0,PA-53130-00B6,9.14284E+18,PT 1650/Tete Client#1,,,,,,,,9.14219E+18,72,06:BLA,12:ROS Raie:0,9.14219E+18,TR 15 0008,326,9.14151E+18,PT 1650,NRA MRG,PMZ 00074,FI-53130-0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14364E+18,31/07/2015 00:00:00,462,Armoire,300,338,300,Deploye,FT,26/03/2015 00:00:00,26/03/2015 00:00:00,16/03/2023 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,128,26/03/2015 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:45,9.14938E+18,9.13216E+18,AIX EN PROVENCE,2 R  . Henri Barbusse 13001 AIX EN PROVENCE bat.:LA BALANCE 2 niv.:3,Confirmé,Partiel,Actif,FT,SFR-9C,9.14938E+18,9.14938E+18,1,VIA01000000192199694,AT PTF/GBL01-00000-00080-80300,9.14938E+18,FI-2600-4913,9.14938E+18,1,01:ROU,01:ROU Raie:0,9.14938E+18,B 0002,,IMB/13001/C/09KW,En service,FTTH,9.14709E+18,PT 000539,NRA AX3,PB 00246,9.14467E+18,2,02:BLF,01:ROU Raie:0,9.14467E+18,TR 15 0515,8.4,9.14305E+18,PT 000093,NRA AX3,PA 0,PA-13001-00EG,9.14236E+18,PT 0018/Tete Client#1,,,,,,,,9.14284E+18,2,02:BLF,01:ROU Raie:0,9.14284E+18,TR 15 0110,30,9.14235E+18,PT 0018,NRA AX3,PMZ 00015,FI-13001-0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14467E+18,21/03/2016 00:00:00,209,Armoire,372,310,372,Deploye,FT,17/06/2015 00:00:00,17/06/2015 00:00:00,11/10/2020 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,64,17/06/2015 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:19,9.15554E+18,9.13229E+18,BESANCON,44 R  . Romain Roussel 25056 BESANCON niv.:1,Confirmé,Partiel,Actif,FT,IFTR,9.15554E+18,9.15554E+18,1,VIA01000000162520722,AT PTF/GBL01-00000-00150-83406,9.15554E+18,FI-6834-1273,9.15554E+18,1,01:ROU,01:ROU Raie:0,9.15554E+18,B 0003,,IMB/25056/C/06IT,En service,FTTH,9.14774E+18,PT 004534,NRA TPT,PB 02996,9.14774E+18,3,03:VER,01:ROU Raie:0,9.14774E+18,TR 16 0976,1.09,9.13443E+18,PT 0107,NRA TPT,PA 0,PA-25056-001V,9.13427E+18,PT 0031/Tete Client#3,,,,,,,,9.13443E+18,93,03:VER,04:JAU Raie:1,9.13443E+18,TR 12 0107,400,9.13427E+18,PT 0031,NRA TPT,PMZ 00022,FI-25056-001C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14774E+18,07/03/2019 00:00:00,577,Armoire,620,574,620,Deploye,FT,07/12/2012 00:00:00,07/12/2012 00:00:00,18/05/2023 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,128,07/12/2012 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:24,9.15705E+18,9.12598E+18,LE HAVRE,212 AV . Mont Gaillard 76351 LE HAVRE niv.:4,PLP,Partiel,Actif,FT,IFTR,9.15705E+18,9.15705E+18,0,,AT PTF/GBL01-00000-00172-56387,9.15705E+18,FI-8203-6174,9.15705E+18,1,01:ROU,01:ROU Raie:0,9.15705E+18,B 0006,,IMB/76351/C/QCJ9,Libre,FTTH,9.15163E+18,PT 010420,NRA EYR,PB 08011,9.15163E+18,29,05:VIO,05:VIO Raie:0,9.15163E+18,TR 18 0015,5.2,9.14877E+18,PT 008937,NRA EYR,PA 0,PA-76351-00WF,9.14878E+18,PT 005484/Tete Client#3,,,,,,,,9.14877E+18,59,05:VIO,10:VEC Raie:0,9.14877E+18,TR 17 0131,136,9.14396E+18,PT 005484,NRA EYR,PMZ 00177,FI-76351-008H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15163E+18,28/03/2018 00:00:00,259,Armoire,474,459,474,Deploye,FT,31/03/2017 00:00:00,31/03/2017 00:00:00,27/08/2020 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,96,31/03/2017 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:26,9.1542E+18,9.13416E+18,TOURCOING,44 R  . Point Central 59599 TOURCOING niv.:0,PLP,Partiel,Actif,FT,FREE,9.1542E+18,9.1542E+18,0,,AT PTF/GBL01-00000-00132-54840,9.1542E+18,FI-5665-1507,9.1542E+18,1,01:ROU,01:ROU Raie:0,9.1542E+18,B 0002,,IMB/59599/S/0BIL,Libre,FTTH,9.14677E+18,PT 004892,NRA RSA,PB 03738,9.14677E+18,8,02:BLF,02:BLF Raie:0,9.14677E+18,TR 16 1148,3,9.13662E+18,PT 0131,NRA RSA,PA 0,PA-59599-001F,9.13712E+18,PT 0018/Tete Client#1,,,,,,,,9.13711E+18,8,02:BLF,02:BLF Raie:0,9.13711E+18,TR 13 0122,480,9.13566E+18,PT 0018,NRA RSA,PMZ 00001,FI-59599-0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14677E+18,18/09/2018 00:00:00,525,Armoire,544,480,544,Deploye,FT,22/04/2013 00:00:00,20/06/2013 00:00:00,22/07/2022 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,128,22/04/2013 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:32,9.14746E+18,7.11304E+18,ARCUEIL,112 R  . Marius Sidobre 94003 ARCUEIL esc.:B niv.:2,Confirmé,Partiel,Actif,FT,SFR-9C,9.14746E+18,9.14746E+18,1,VIA01000000192769281,AT PTF/GBL01-00000-00063-88070,9.14746E+18,FI-1744-2172,9.14746E+18,1,01:ROU,01:ROU Raie:0,9.14746E+18,B 0002,,IMB/94003/C/00FW,En service,FTTH,9.14495E+18,PT 004745,NRA CAC,PB 03737,9.14495E+18,2,02:BLF,01:ROU Raie:0,9.14495E+18,TR 15 1230,3.6,9.14132E+18,PT 2888,NRA CAC,PA 0,PA-94003-001C,9.13971E+18,PT 1777/Tete Client#2,,,,,,,,9.14132E+18,38,02:BLF,07:ORA Raie:0,9.14132E+18,TR 14 0957,470,9.13971E+18,PT 1777,NRA CAC,PMZ 00034,FI-94003-000H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14495E+18,12/04/2016 00:00:00,690,Chambre,444,331,444,Deploye,FT,29/08/2013 00:00:00,15/01/2015 00:00:00,25/07/2022 00:00:00,Externe,,mono-fibre,Position de l equipement:AR :armoire (dans),96,29/08/2013 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:33,9.15966E+18,8.04185E+18,RENNES,2 R  . Pierre Martin 35238 RENNES niv.:10,Confirmé,Partiel,Actif,FT,FREE,9.15966E+18,9.15966E+18,1,VIA01000000180383677,AT PTF/GBL01-00000-00263-51808,9.15966E+18,FI-4152-9566,9.15966E+18,1,01:ROU,01:ROU Tiret 1,9.15966E+18,B 0008,,IMB/35238/C/JX6B,En service,FTTH,9.152E+18,PT 003643,NRA SUD,PB 02690,9.152E+18,13,01:ROU,04:JAU Tiret 1,9.152E+18,TR 18 0458,3.3,,,,,,9.152E+18,PT 003633/Tête Client#11,FREE,,,ROU,,,,9.152E+18,13,01:ROU,04:JAU Tiret 1,9.152E+18,TR 18 0458,33,9.152E+18,PT 003633,NRA SUD,PM 00219,FI-35238-01DN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.152E+18,12/11/2019 00:00:00,33,Local technique,121,121,121,Deploye,FT,12/11/2019 00:00:00,16/02/2018 00:00:00,16/02/2018 00:00:00,Interne,,quadri-fibre,Position de l equipement:IM:imb apparent,32,12/11/2019 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:36,9.15181E+18,9.13228E+18,HOUILLES,19 R  . Blaise Pascal 78311 HOUILLES niv.:0,Confirmé,Partiel,Actif,FT,STE DVLP ACCES (SDIF,9.15181E+18,9.15181E+18,1,VIA01000000150559479,AT PTF/GBL01-00000-00105-82078,9.15181E+18,FI-4016-0318,9.15181E+18,1,01:ROU,01:ROU Raie:0,9.15181E+18,B 0004,,IMB/78311/C/00EH,En service,,9.14961E+18,PT 006462,NRA SAT,PB 05158,9.14961E+18,16,04:JAU,03:VER Raie:0,9.14961E+18,TR 17 0888,8.1,9.14961E+18,PT 006455,NRA SAT,PA 0,PA-78311-004J,9.13413E+18,PT 0064/Tete Client#4,,,,,,,,9.14961E+18,52,04:JAU,09:MAR Raie:0,9.14961E+18,TR 17 0892,163,9.13413E+18,PT 0064,NRA SAT,PMZ 00051,FI-78311-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14961E+18,23/06/2017 00:00:00,244,Armoire,564,394,564,Deploye,FT,23/10/2012 00:00:00,23/10/2012 00:00:00,14/01/2023 00:00:00,Externe,,mono-fibre,"Emplacement PM:37, BD . Henri Barbusse",128,23/10/2012 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:37,9.15403E+18,9.12598E+18,LE HAVRE,6 R  . Bellot 76351 LE HAVRE niv.:2,Confirmé,Partiel,Actif,FT,STE DVLP ACCES (SDIF,9.15403E+18,9.15403E+18,1,VIA01000000157868730,AT PTF/GBL01-00000-00130-30729,9.15403E+18,FI-5521-7987,9.15403E+18,1,01:ROU,01:ROU Raie:0,9.15403E+18,B 0018,,IMB/76351/C/SY81,En service,FTTH,9.14467E+18,PT 005931,NRA EYR,PB 04231,9.14467E+18,21,03:VER,04:JAU Raie:0,9.14467E+18,TR 15 1549,7.6,9.14467E+18,PT 005922,NRA EYR,PA 0,PA-76351-00G8,9.13645E+18,PT 0758/Tete Client#4,,,,,,,,9.14467E+18,57,03:VER,10:VEC Raie:0,9.14467E+18,TR 15 1544,28,9.13537E+18,PT 0758,NRA EYR,PMZ 00092,FI-76351-003Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14467E+18,12/01/2016 00:00:00,104,Armoire,450,369,450,Deploye,FT,13/03/2013 00:00:00,13/03/2013 00:00:00,10/09/2022 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,96,13/03/2013 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:38,9.16049E+18,9.13307E+18,ELANCOURT,1 AV . Mont Cassel 78208 ELANCOURT niv.:3 porte:222,Non confirmé,Partiel,Actif,FT,FT,9.16049E+18,9.16049E+18,0,0130623596,AT PTF/GBL01-00000-00282-10990,9.16049E+18,FI-5137-4445,9.16049E+18,1,01:ROU,01:ROU Raie:0,9.16049E+18,B 0009,,IMB/78208/C/013Z,En service,FTTH,9.14624E+18,PT 003801,NRA TRA,PB 03167,9.14624E+18,21,03:VER,04:JAU Raie:0,9.14624E+18,TR 16 0204,1.16,9.14244E+18,PT 002569,NRA TRA,PA 0,PA-78208-003L,9.13908E+18,PT 0617/Tete Client#2,,,,,,,,9.14255E+18,27,03:VER,05:VIO Raie:0,9.14255E+18,TR 15 0075,500,9.13908E+18,PT 0617,NRA TRA,PMZ 00047,FI-78208-000F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14624E+18,13/05/2016 00:00:00,616,Armoire,378,290,378,Deploye,FT,18/06/2014 00:00:00,18/06/2014 00:00:00,17/08/2022 00:00:00,Externe,,mono-fibre,"Emplacement PM:43, AV . Petite Villedieu",128,18/06/2014 00:00:00,,,,,,,,,
ref_route_agregee_oi_20230530_1842.csv.gz,30/05/2023 21:17:15,9.15615E+18,9.12598E+18,LE HAVRE,23 R  . De Balzac 76351 LE HAVRE niv.:6,Confirmé,Partiel,Actif,FT,STE DVLP ACCES (SDIF,9.15615E+18,9.15615E+18,1,VIA01000000191133927,AT PTF/GBL01-00000-00191-07484,9.15615E+18,FI-9187-9898,9.15615E+18,1,01:ROU,01:ROU Raie:0,9.15615E+18,B 0003,,IMB/76351/C/Q9A9,En service,FTTH,9.1569E+18,PT 004130,NRA JAU,PB 03252,9.1569E+18,39,03:VER,07:ORA Raie:0,9.1569E+18,TR 19 0273,9.7,9.14708E+18,PT 001640,NRA JAU,PA 0,PA-76351-013L,9.14622E+18,PT 001310/Tete Client#2,,,,,,,,9.14708E+18,69,03:VER,12:ROS Raie:0,9.14708E+18,TR 16 0548,35,9.1462E+18,PT 001310,NRA JAU,PMZ 00069,FI-76351-0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1569E+18,25/09/2019 00:00:00,132,Armoire,408,360,408,Deploye,FT,30/11/2016 00:00:00,10/10/2016 00:00:00,11/01/2023 00:00:00,Externe,,mono-fibre,PM mono - PM Z 2 armoires,96,30/11/2016 00:00:00,,,,,,,,,
